Title,Abstract,DOI,Authors,Year,Document_Type,Journal,Source,DECISION,MOTIVO
The utility of MASS-FIX to detect and monitor monoclonal proteins in the clinic.,"The detection and quantification of monoclonal-proteins (M-proteins) are necessary for the diagnosis and evaluation of response in plasma cell dyscrasias. Immunoglobulin enrichment-coupled with matrix-assisted laser desorption ionization time-of-flight mass-spectrometry (MASS-FIX) is a simple and inexpensive method to identify M-proteins, but its clinical generalizability has not yet been elucidated. We compared MASS-FIX to protein electrophoresis (PEL), serum/urine immunofixation-electrophoresis (IFE), and quantitative serum free-light chain (FLC) for the identification of M-proteins in different clinical diagnoses. Paired serum and urine samples from 257 patients were tested. There were six patients for whom s-IFE and FLC ratio were positive and serum MASS-FIX was negative, but when serum and urine MASS-FIX results were combined, only one patient with light chain-MGUS was missed. Serum/urine-MASS-FIX detected M-proteins in 18 patients with negative serum/urine-PEL/IFE and serum-FLC, 10 of whom had multiple myeloma or AL amyloidosis, who were mistakenly thought to have complete hematologic response by serum/urine-PEL/IFE and serum-FLC. Nearly half of the AL amyloidosis patients had atypical spectra, which may prove to be a clue to the diagnosis and pathogenesis of the disease. In conclusion, MASS-FIX has a comparable sensitivity with PEL/IFE/FLC methods and can help inform the clinical diagnosis.",10.1002/ajh.24772 [doi],"Milani P, Murray DL, Barnidge DR, Kohlhagen MC, Mills JR, Merlini G, Dasari S, Dispenzieri A",,,Am J Hematol. 2017 Aug;92(8):772-779. doi: 10.1002/ajh.24772. Epub 2017 Jun 1.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Impaired right ventricular function as a predictor of early mortality in patients with light‑ chain cardiac amyloidosis assessed in a cardiology department.,"INTRODUCTION    Light‑chain (AL) amyloidosis is the most common cardiac amyloidosis. Despite progress in treatment, early mortality remains a substantial problem in these patients. OBJECTIVES    The aim of this study was to determine a clinical profile of patients diagnosed with AL amyloidosis in a cardiology department, as well as to define the cut‑off point for early mortality and identify predictors of early mortality in this population. PATIENTS AND METHODS  The study included 30 patients (14 women; median age, 61.5 years) with AL amyloidosis confirmed by echocardiography and biopsy of 2 organs. RESULTS    Six patients were diagnosed with stage II amyloidosis according to the Mayo 2004 classification, and 24 patients-with stage III. Early mortality was defined as death during 102 days after diagnosis and was observed in 14 patients. Patients who died earlier were younger and more frequently reported a weight loss of more than 10 kg and orthostatic hypotension than patients who died later. Moreover, they had higher concentrations of high‑sensitivity troponin T and N‑terminal pro‑B‑type natriuretic peptide (NT‑proBNP) and worse left and right ventricular (RV) contractility. In the Cox models, the age of less than 64 years, NT‑proBNP levels exceeding 4968 pg/ml, RV end‑diastolic diameter of less than 34 mm, and tricuspid annular plane systolic excursion lower than 13 mm were significant predictors of mortality within 102 days after diagnosis. CONCLUSIONS    We presented the results of the first Polish prospective noninterventional study on AL amyloidosis diagnosed in the cardiology department. We found that patients have advanced disease at the time of diagnosis. Younger age, impaired RV function, and higher concentrations of cardiac markers are predictors of worse prognosis.",10.20452/pamw.4135 [doi],"Szczygieł JA, Wieczorek PZ, Drozd-Sokołowska J, Michałek P, Mazurkiewicz Ł, Legatowicz-Koprowska M, Walczak E, Jędrzejczak WW, Dwilewicz-Trojaczek J, Grzybowski J",,,Pol Arch Intern Med. 2017 Dec 22;127(12):854-864. doi: 10.20452/pamw.4135. Epub 2017 Nov 3.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Retrospective Analysis of Autologous Stem Cell Transplantation for AL Amyloidosis: A Study from the Multiple Myeloma Working Group of the Japan Society for Hematopoietic Cell Transplantation.,"Autologous stem cell transplantation (ASCT) is the standard of care for eligible patients with light-chain (AL) amyloidosis, but little is known about it in Asian populations. To investigate the outcome of and prognostic factors for ASCT, we retrospectively analyzed ASCT cases registered to the Transplant Registry Unified Management Program between December 1999 and December 2015, with extra clinical information collected through a secondary survey. The primary endpoint was overall survival (OS). Hematologic response, organ response, and transplantation-related mortality were analyzed as secondary endpoints. The database search identified 330 patients (median age, 57 years; range, 31 to 74), and the secondary survey provided details for the 110 patients (33.3%) included in the study cohort. Fewer than 3 organs were involved in 56.4% of the patients, with cardiac involvement in 57.3%. Performance status (PS) was 0 to 1 in 83.6%. The conditioning melphalan dose was reduced in 54.6%. Overall hematologic response was a partial response or better in 77.6% of the patients and a complete response in 49.3%. The 5-year OS was 70.1%. A PS of 0 to 1 was associated with a significantly better prognosis in terms of OS. Although survival after ASCT for AL amyloidosis improved over time, poor PS and cardiac involvement had negative impacts on prognosis. The early mortality after ASCT was 6.4%. Poor PS and cardiac involvement led to high early mortality. A brain natriuretic peptide (BNP) level of 400 pg/mL was associated with worse OS. Our study has several limitations inherent to a retrospective analysis using a questionnaire. The depth of response and biomarker responses were significantly limited by the degree of missing data. Nonetheless, our data support the importance of careful patient selection for good outcomes of ASCT in patients with AL amyloidosis. In our cohort, poor PS and cardiac involvement had a negative impact on prognosis, and BNP level was a useful prognostic factor.",S2666-6367(21)01361-0 [pii],"Fuchida SI, Kawamura K, Sunami K, Tsukada N, Fujii S, Ohkawara H, Usuki K, Wake A, Endo S, Ishiyama K, Ueda Y, Nakamura Y, Miyamoto T, Fukuda T, Ichinohe T, Atsuta Y, Takamatsu H",,,Transplant Cell Ther. 2022 Feb;28(2):76-82. doi: 10.1016/j.jtct.2021.10.021. Epub 2021 Nov 11.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
AL amyloidosis: from molecular mechanisms to targeted therapies.,"Systemic amyloidosis is caused by misfolding and extracellular deposition of circulating proteins as amyloid fibrils, resulting in the dysfunction of vital organs. The most common systemic amyloidosis, light-chain (AL) amyloidosis, is caused by misfolded light chains produced by a small, dangerous B-cell clone. The process of amyloid formation, organ targeting, and damage is multifaceted and, after disease initiation, the complexity of the downstream pathogenic cascade increases, rendering its control a challenge. Because of the progressive nature of the disease, early diagnosis to prevent end-stage organ damage is vital. Improving awareness and systematic use of biomarkers of organ damage in screening populations at risk may improve the still unsatisfactory diagnostic process. Amyloid imaging is now emerging as an important companion of biomarkers in formulating the diagnosis and prognosis and monitoring the effects of therapy. An accurate diagnosis is the basis for appropriate therapy that is risk-adapted and response-tailored. Effective treatments targeting the clone and rapidly and profoundly reducing the amyloid light chains have produced marked improvements in overall survival, making AL amyloidosis the most successful model of all amyloidoses. New therapies targeting the amyloid deposits are now under development, together with novel agents modulating light chain aggregation and proteotoxicity. The future of AL amyloidosis treatment is combination therapy and will require an innovative collaborative model for a rapid translation from bench to bedside with the ultimate aim of achieving a cure for this complex disease.",2017/1/1 [pii],Merlini G,,,Hematology Am Soc Hematol Educ Program. 2017 Dec 8;2017(1):1-12. doi: 10.1182/asheducation-2017.1.1.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Autonomic dysfunction in cardiac amyloidosis assessed by heart rate variability and heart rate turbulence.,"BACKGROUND: Cardiac amyloidosis (CA) is characterized by left ventricular hypertrophy (LVH) and autonomic nervous imbalance due to amyloid infiltration. However, autonomic dysfunction is often seen in heart failure (HF) with LVH from other etiologies. We aimed to characterize autonomic dysfunction in CA from other etiologies of LVH. METHODS: Fifty-five HF patients with LVH (35 males, mean age 65 ± 16 years) were enrolled. LVH was defined as left ventricular mass index measured by echocardiography >95 g/m(2) in women and 115 g/m(2) in men. The etiology was as follows: amyloid light chain (AL)-CA, n = 14; hypertrophic cardiomyopathy, n = 21; and aortic stenosis (AS), n = 20. With the patient in a clinically stable condition, heart rate variability (HRV) and heart rate turbulence (HRT), which reflect autonomic dysfunction, were measured using Holter monitoring and compared among the three groups. RESULTS: Brain natriuretic peptide levels, LVH severity, left ventricular ejection fraction, and tissue Doppler index E/e' did not differ among the three groups. However, severe abnormalities of HRV and HRT were obtained in AL-CA. In the ROC analysis to identify AL-CA in HF with LVH, the best cutoff value for standard deviation of all R-R intervals, standard deviation of the 5-min mean R-R intervals, turbulence onset, and turbulence slope were 68.5 ms (AUC: 0.865), 58.5 ms (AUC: 0.834), 0.25% (AUC: 0.813), and 1.00 ms/RR (AUC 0.736), respectively. CONCLUSION: Autonomic dysfunction is a hallmark of AL-CA, and its noninvasive assessment by Holter monitoring may be a useful tool for differential diagnosis of HF with LVH.",ANEC12749 [pii],"Yamada S, Yoshihisa A, Hijioka N, Kamioka M, Kaneshiro T, Yokokawa T, Misaka T, Ishida T, Takeishi Y",,,Ann Noninvasive Electrocardiol. 2020 Jul;25(4):e12749. doi: 10.1111/anec.12749. Epub 2020 Feb 21.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
"Primary treatment of light-chain amyloidosis with bortezomib, lenalidomide, and dexamethasone.","Bortezomib and dexamethasone with cyclophosphamide (CyBorD) or melphalan (BMDex) are commonly used primary treatments for light-chain (AL) amyloidosis, but limited data exist on bortezomib with immunomodulatory drug combinations. We report our experience with primary therapy with a bortezomib, lenalidomide, and dexamethasone (VRD) ""light"" regimen in 34 consecutive patients with AL amyloidosis. The majority (79%) had cardiac involvement, 15% and 23% were Mayo stage 3A and 3B, respectively, and 54% had renal involvement. After the first VRD cycle, 71% of patients achieved a hematologic response (44% at least very good partial response [VGPR]). On intent to treat, 11 (32%) achieved a complete response (of whom 5 of 11 were minimal residual disease [MRD] negative at 10-5), 17 (50%) a VGPR, and 2 (7%) a partial response. The 12-month survival was 73%. Starting lenalidomide dose was 5 mg in 86% of patients. Hematologic toxicity was mild; nonhematologic toxicities included rash (grade 3/4 [16%]), infections (grade ≥3 [12%]), constipation (grade ≥3 [9%]), and peripheral neuropathy (grade 2 [20%]); 37.5% of patients required lenalidomide dose reduction, 27% discontinued lenalidomide, 38% required bortezomib dose reduction, and 12% discontinued bortezomib. We compared VRD to CyBorD in 68 patients matched for Mayo stage and baseline difference between involved minus uninvolved serum free light chain levels, and observed a trend for deeper response at 3 and 6 months with VRD. In conclusion, VRD can be an active regimen for newly diagnosed patients with AL amyloidosis able to induce very deep hematologic responses at the expense of increased toxicity.",387158 [pii],"Kastritis E, Dialoupi I, Gavriatopoulou M, Roussou M, Kanellias N, Fotiou D, Ntanasis-Stathopoulos I, Papadopoulou E, Ziogas DC, Stamatelopoulos K, Manios E, Ntalianis A, Eleutherakis-Papaiakovou E, Papanikolaou A, Migkou M, Papanota AM, Gakiopoulou H, Psimenou E, Tselegkidi MI, Tsitsilonis O, Kostopoulos I, Terpos E, Dimopoulos MA",,,Blood Adv. 2019 Oct 22;3(20):3002-3009. doi: 10.1182/bloodadvances.2019000147.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Molecular Expression Differences in Specific Blood Mononuclear Cell-Types Identify Patients With AL Amyloidosis.,"The diagnosis of AL amyloidosis is often challenging due to its systemic nature and heterogeneous clinical presentation. Current serological biomarkers for diagnosis and monitoring are not optimal. We have considered the possibility that mononuclear cell-type specific molecular expression can be used to develop blood-based biomarkers to diagnose and monitor patients with AL amyloidosis. Peripheral blood monocytes and CD4(+) T cells from patients with documented AL amyloidosis or myeloma without amyloidosis were assessed by enhanced flow cytometric analysis for expression levels of 20 analytes chosen for the possibility that their expression levels may lead to diagnostic assays and biomarkers. We found definitive expression level differences for brain-derived neurotrophin factor (BDNF), calmodulin, and phospho-TBK1 in CD4(+) T cells and for phospho-GSK3β in monocytes. Logistic regression and ROC analysis showed that BDNF in CD4(+) T cells and heme oxygenase 1 in monocytes significantly distinguished between patients with myeloma versus patients with AL amyloidosis (AUC = 0.75). Additionally, we discovered remarkable differences in intermolecular associations between the samples from the two patient groups, suggesting the involvement of specific pathogenetic pathways. Our results demonstrate that mononuclear cell-type specific molecular expression may be useful for developing a diagnostic assay and biomarkers for patients with AL amyloidosis.",JCMM70850 [pii],"Kaplan D, Christian E, Valent J, Anwer F, Mazzoni S, Samaras C, Williams L, Nakashima M, Raza S, Hanna M, Lazarus HM, Khouri J",,,J Cell Mol Med. 2025 Sep;29(18):e70850. doi: 10.1111/jcmm.70850.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Serum and Tissue Light-Chains as Disease Biomarkers in AL Amyloidosis.,"Amyloid light-chain (AL) amyloidosis is the most prevalent type of diagnosed systemic amyloidosis in Western countries, characterized by the deposition of misfolded immunoglobulin light chains (LCs) in various organs, most commonly the heart and kidneys. Circulating free LC (FLC) measurement, which can be performed by mass spectrometry or antibody-based techniques, is a crucial tool for AL amyloidosis diagnosis, risk assessment, and management. Additionally, diagnosing AL amyloidosis requires accurate detection of LC deposits in tissues. In addition to immunohistochemical techniques, mass spectrometry-based methods are now available.",ijms26199511 [pii],"Aimo A, Ferrari Chen YF, Chianca M, Mori F, Pucci A, Castiglione V, Musetti V, Caponi L, Fabiani I, Vergaro G, Franzini M, Emdin M, Cardinale D",,,Int J Mol Sci. 2025 Sep 29;26(19):9511. doi: 10.3390/ijms26199511.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
A risk stratification for systemic immunoglobulin light-chain amyloidosis with renal involvement.,"Renal involvement is found in about 70% of patients with systemic immunoglobulin light-chain (AL) amyloidosis. However, there is no risk stratification system specialized for renal AL concerning patients' survival. Galectin-3 (Gal-3) has been reported to portend poor prognosis in other renal diseases. We measured Gal-3 and several traditional risk biomarkers of AL in baseline samples from 253 consecutive patients diagnosed with renal AL. At baseline, Gal-3 [Hazard ratio (HR): 1·46; P = 0·033], high-sensitivity cardiac troponin T (hs-cTnT) (HR: 2·65; P < 0·001) and difference between involved and uninvolved free light chains (dFLC) (HR: 1·81; P = 0·001) were independent predictors of all-cause mortality. The cut-off points for Gal-3, hs-cTnT, and dFLC were 20·24 ng/ml, 0·026 ng/ml, and 75·89 mg/l, respectively. Patients were stratified into four stages by assigning a score of 1 for each of the three biomarkers above the cut-off point. The proportions of patients with disease stages 1, 2, 3 and 4 were 17·0%, 37·2%, 29·2% and 16·6%, and the median overall survival times from diagnosis were 100, 60, 29 and 15 months, respectively (P < 0·01). Higher level of Gal-3 is associated with increased risk for mortality, and the risk stratification based on Gal-3 is a reliable model for predicting mortality in AL amyloidosis with renal involvement.",10.1111/bjh.16112 [doi],"Li T, Huang X, Wang Q, Zhao L, Ren G, Chen W, Zheng C, Zhou M, Jiang Q, Yin R, Liu Z",,,Br J Haematol. 2019 Nov;187(4):459-469. doi: 10.1111/bjh.16112. Epub 2019 Jul 26.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Alterations of the gut microbiota in patients with immunoglobulin light chain amyloidosis.,"BACKGROUND: Emerging evidence revealed that gut microbial dysbiosis is implicated in the development of plasma cell dyscrasias and amyloid deposition diseases, but no data are available on the relationship between gut microbiota and immunoglobulin light chain (AL) amyloidosis. METHODS: To characterize the gut microbiota in patients with AL amyloidosis, we collected fecal samples from patients with AL amyloidosis (n=27) and age-, gender-, and BMI-matched healthy controls (n=27), and conducted 16S rRNA MiSeq sequencing and amplicon sequence variants (ASV)-based analysis. RESULTS: There were significant differences in gut microbial communities between the two groups. At the phylum level, the abundance of Actinobacteriota and Verrucomicrobiota was significantly higher, while Bacteroidota reduced remarkably in patients with AL amyloidosis. At the genus level, 17 genera, including Bifidobacterium, Akkermansia, and Streptococcus were enriched, while only 4 genera including Faecalibacterium, Tyzzerella, Pseudomonas, and Anaerostignum decreased evidently in patients with AL amyloidosis. Notably, 5 optimal ASV-based microbial markers were identified as the diagnostic model of AL amyloidosis and the AUC value of the train set and the test set was 0.8549 (95% CI 0.7310-0.9789) and 0.8025 (95% CI 0.5771-1), respectively. With a median follow-up of 19.0 months, further subgroup analysis also demonstrated some key gut microbial markers were related to disease severity, treatment response, and even prognosis of patients with AL amyloidosis. CONCLUSIONS: For the first time, we demonstrated the alterations of gut microbiota in AL amyloidosis and successfully established and validated the microbial-based diagnostic model, which boosted more studies about microbe-based strategies for diagnosis and treatment in patients with AL amyloidosis in the future.",10.3389/fimmu.2022.973760 [doi],"Yan J, Zhao J, Ning X, Qin Y, Xing Y, Wang Y, Jia Q, Huang B, Ma R, Lei C, Zhou M, Yu Z, Zhang Y, Guo WF, Sun S",,,Front Immunol. 2022 Oct 19;13:973760. doi: 10.3389/fimmu.2022.973760. eCollection 2022.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
An updated AL-base reveals ranked enrichment of immunoglobulin light chain variable genes in AL amyloidosis.,"BACKGROUND: Each monoclonal antibody light chain associated with AL amyloidosis has a unique sequence. Defining how these sequences drive amyloid deposition could facilitate faster diagnosis and lead to new treatments. METHODS: Light chain sequences are collected in the AL-Base repository. Monoclonal sequences from AL amyloidosis, multiple myeloma and the healthy polyclonal immune repertoire were compared to identify differences in precursor gene use, mutation frequency and physicochemical properties. RESULTS: AL-Base now contains 2,200 monoclonal light chain sequences from AL amyloidosis and other plasma cell dyscrasias. Sixteen germline precursor genes were enriched in AL amyloidosis, relative to multiple myeloma and the polyclonal repertoire. Two genes, IGKV1-16 and IGLV1-36, were infrequently observed but highly enriched in AL amyloidosis. The number of mutations varied widely between light chains. AL-associated κ light chains harboured significantly more mutations compared to multiple myeloma and polyclonal sequences, whereas AL-associated λ light chains had fewer mutations. Machine learning tools designed to predict amyloid propensity were less accurate for new sequences than their original training data. CONCLUSIONS: Rarely-observed light chain variable genes may carry a high risk of AL amyloidosis. New approaches are needed to define sequence-associated risk factors for AL amyloidosis. AL-Base is a foundational resource for such studies.",10.1080/13506129.2024.2434899 [doi],"Morgan GJ, Nau AN, Wong S, Spencer BH, Shen Y, Hua A, Bullard MJ, Sanchorawala V, Prokaeva T",,,Amyloid. 2025 Jun;32(2):129-138. doi: 10.1080/13506129.2024.2434899. Epub 2024 Dec 6.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Echocardiographic Nomogram Model: A Tool for Assessing Cardiac Involvement in Patients With Systemic Amyloidosis.,"OBJECTIVES: Cardiac involvement is significantly relevant to a poor prognosis in patients with systemic amyloidosis, often leading to adverse outcomes. The objective of this study was to develop a diagnostic model for cardiac amyloidosis (CA) in primary light chain amyloidosis (pAL) to facilitate early detection and improve prognostic evaluation. METHODS: In this retrospective study involving 72 patients with primary pAL amyloidosis (51 with cardiac involvement), we systematically employed cardiac magnetic resonance imaging (CMR) for cardiac assessment. CA diagnosis was confirmed histologically via noncardiac tissue biopsy, positive for light chain systemic amyloidosis. To dissect the risk factors for cardiac involvement, we applied both univariate logistic regression and a random forest algorithm. Subsequently, the findings from these analyses informed the construction of a predictive nomogram. We rigorously evaluated the nomogram's performance using receiver operating characteristic curve analysis, calibration curve assessment, and decision curve analysis. RESULTS: The nomogram model included relative wall thickness (RWT), the ratio of mitral peak flow velocity in early diastolic (E wave) to the pulsed tissue Doppler imaging-derived early diastolic peak velocity (e' wave) at the interventricular septal mitral annulus (E/e' sep), ejection fraction to peak systolic global longitudinal strain ratio (EFSR) and right ventricular fractional area change (RV FAC). The model exhibited good diagnostic performance, with an area under the ROC curve of 0.85 (95% CI, 0.75-0.92), a sensitivity of 80.4% (95% CI, 66.9%-90.2%), and a specificity of 85.7% (95% CI, 63.7%-97.0%). CONCLUSIONS: The nomogram provided a noninvasive and effective means of assessing cardiac involvement in systemic amyloidosis, offering a valuable aid for clinical decision-making and patient management.",10.1111/echo.70252 [doi],"Lin Q, Li X, Tan Z, Xu R, Fei H, Chen O",,,Echocardiography. 2025 Aug;42(8):e70252. doi: 10.1111/echo.70252.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Daratumumab for systemic AL amyloidosis: prognostic factors and adverse outcome with nephrotic-range albuminuria.,"Daratumumab has shown promising first results in systemic amyloid light-chain (AL) amyloidosis. We analyzed a consecutive series of 168 patients with advanced AL receiving either daratumumab/dexamethasone (DD, n = 106) or daratumumab/bortezomib/dexamethasone (DVD, n = 62). DD achieved a remission rate (RR) of 64% and a very good hematologic remission (VGHR) rate of 48% after 3 months. Median hematologic event-free survival (hemEFS) was 11.8 months and median overall survival (OS) was 25.6 months. DVD achieved a 66% RR and a 55% VGHR rate. Median hemEFS was 19.1 months and median OS had not been reached. Cardiac organ responses were noted in 22% with DD and 26% with DVD after 6 months. Infectious complications were common (Common Terminology Criteria [CTC] grade 3/4: DD 16%, DVD 18%) and likely related to a high rate of lymphocytopenia (CTC grade 3/4: DD 20%, DVD 17%). On univariable analysis, hyperdiploidy and gain 1q21 conferred an adverse factor for OS and hemEFS with DD, whereas translocation t(11;14) was associated with a better hemEFS. N-terminal prohormone of brain natriuretic peptide >8500 ng/L could not be overcome for survival with each regimen. Multivariable Cox regression analysis revealed plasma cell dyscrasia (difference between serum free light chains [dFLC]) >180 mg/L as an overall strong negative prognostic factor. Additionally, nephrotic-range albuminuria with an albumin-to-creatinine-ratio (ACR) >220 mg/mmol was a significantly adverse factor for hemEFS (hazard ratio, 2.1 and 3.1) with DD and DVD. Daratumumab salvage therapy produced good results and remission rates challenging any therapy in advanced AL. Outcome is adversely influenced by the activity of the underlying plasma cell dyscrasia (dFLC) and nephrotic-range albuminuria (ACR).",S0006-4971(20)62060-2 [pii],"Kimmich CR, Terzer T, Benner A, Dittrich T, Veelken K, Carpinteiro A, Hansen T, Goldschmidt H, Seckinger A, Hose D, Jauch A, Wörner S, Beimler J, Müller-Tidow C, Hegenbart U, Schönland SO",,,Blood. 2020 Apr 30;135(18):1517-1530. doi: 10.1182/blood.2019003633.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Prognosis of light chain amyloidosis: a multivariable analysis for survival prediction in patients with cardiac involvement proven by endomyocardial biopsy.,"BACKGROUND: Cardiac involvement is a main determinant of mortality in light chain (AL) amyloidosis but data on survival of patients with cardiac AL amyloidosis proven by endomyocardial biopsy (EMB) are sparse. METHODS: This study analysed clinical, laboratory, electrocardiography and echocardiographic parameters for their prognostic value in the assessment of patients with AL amyloidosis and cardiac involvement. Patients with AL amyloidosis who had their first visit to the amyloidosis centre at the University Hospital Heidelberg between 2006 and 2017 (n=1628) were filtered for cardiac involvement proven by EMB. In the final cohort, mortality-associated markers were analysed by univariate and multivariable Cox regression. Cut-off values for each parameter were calculated using the survival time. RESULTS: One-hundred and seventy-four patients could be identified. Median overall survival time was 1.5 years and median follow-up time was 5.2 years. At the end of the investigation period, 115 patients had died. In multivariable analysis, New York Heart Association-functional class >II (HR 1.65; 95% CI 1.09 to 2.50; p=0.019), left ventricular global longitudinal strain (HR 1.12; 95% CI 1.03 to 1.22; p=0.007), left ventricular end-systolic volume (HR 1.02; 95% CI 1.01 to 1.03; p=0.001), systolic pulmonary artery pressure (HR 0.98; 95% CI 0.96 to 0.99; p=0.027), N-terminal pro-B-type natriuretic peptide (HR 1.57; 95% CI 1.17 to 2.11; p=0.003) and difference in free light chains (HR 1.30; 95% CI 1.05 to 1.62; p=0.017) were independently predictive. CONCLUSION: Among all patients with AL amyloidosis those with cardiac involvement represent a high-risk population with limited therapy options. Therefore, accurate risk stratification is necessary to identify cardiac amyloidosis patients with favourable prognosis. Incorporation of modern imaging techniques into existing or newly developed scoring systems is a promising option that might enable the implementation of risk-adapted therapeutic strategies.",openhrt-2023-002310 [pii],"Aurich M, Bucur J, Vey JA, Greiner S, Aus dem Siepen F, Hegenbart U, Schönland S, Katus HA, Frey N, Mereles D",,,Open Heart. 2023 Jul;10(2):e002310. doi: 10.1136/openhrt-2023-002310.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Liver dysfunction as predictor of prognosis in patients with amyloidosis: utility of the Model for End-stage Liver disease (MELD) scoring system.,"Amyloidosis prognosis is often related to the onset of heart failure and a worsening that is concomitant with kidney-liver dysfunction; thus the Model for End-stage Liver disease (MELD) may be an ideal instrument to summarize renal-liver function. Our aim has been to test the MELD score as a prognostic tool in amyloidosis. We evaluated 128 patients, 46 with TTR-related amyloidosis and 82 with AL amyloidosis. All patients had a complete clinical and echocardiography evaluation; overall biohumoral assessment included troponin I, NT-proBNP, creatinine, total bilirubin and INR ratio. The study population was dichotomized at the 12 cut-off level of MELD scores; those with MELD score >12 had a lower survival compared to controls in the study cohort (40.7 vs 66.3 %; p = 0.006). Either as a continuous and dichotomized variable, MELD shows its independent prognostic value at multivariable analysis (HR = 1.199, 95 % CI 1.082-1.329; HR = 2.707, 95 % CI 1.075-6.817, respectively). MELD shows a lower prognostic sensitivity/specificity ratio than troponin I and NT-proBNP in the whole study population and AL subgroup, while in TTR patients MELD has a higher sensitivity/specificity ratio compared to troponin and NT-proBNP (ROC analysis-AUC: 0.853 vs 0.726 vs 0.659). MELD is able to predict prognosis in amyloidosis. A MELD score >12 selects a subgroup of patients with a higher risk of death. The predictive accuracy seems to be more evident in TTR patients in whom currently no effective scoring systems have been validated.",10.1007/s11739-016-1500-0 [pii],"Cappelli F, Baldasseroni S, Bergesio F, Spini V, Fabbri A, Angelotti P, Grifoni E, Attanà P, Tarantini F, Marchionni N, Moggi Pignone A, Perfetto F",,,Intern Emerg Med. 2017 Feb;12(1):23-30. doi: 10.1007/s11739-016-1500-0. Epub 2016 Aug 1.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Detection of minimal residual disease by next generation sequencing in AL amyloidosis.,No abstract available,10.1038/s41408-021-00511-6 [pii],"Sarosiek S, Varga C, Jacob A, Fulciniti MT, Munshi N, Sanchorawala V",,,Blood Cancer J. 2021 Jun 21;11(6):117. doi: 10.1038/s41408-021-00511-6.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
Multi-chamber speckle tracking imaging and diagnostic value of left atrial strain in cardiac amyloidosis.,"AIMS: Cardiac amyloidosis (CA) affects the four heart chambers, which can all be evaluated through speckle-tracking echocardiography (STE). METHODS AND RESULTS: We evaluated 423 consecutive patients screened for CA over 5 years at two referral centres. CA was diagnosed in 261 patients (62%) with either amyloid transthyretin (ATTR; n = 144, 34%) or amyloid light-chain (AL; n = 117, 28%) CA. Strain parameters of all chambers were altered in CA patients, particularly those with ATTR-CA. Nonetheless, only peak left atrial longitudinal strain (LA-PALS) displayed an independent association with the diagnosis of CA or ATTR-CA beyond standard echocardiographic variables and cardiac biomarkers (Model 1), or with the diagnosis of ATTR-CA beyond the validated IWT score in patients with unexplained left ventricular (LV) hypertrophy. Patients with the most severe impairment of LA strain were those most likely to have CA or ATTR-CA. Specifically, LA-PALS and/or LA-peak atrial contraction strain (PACS) in the first quartile (i.e. LA-PALS <6.65% and/or LA-PACS <3.62%) had a 3.60-fold higher risk of CA, and a 3.68-fold higher risk of ATTR-CA beyond Model 1. Among patients with unexplained LV hypertrophy, those with LA-PALS or LA-PACS in the first quartile had an 8.76-fold higher risk for CA beyond Model 1, and a 2.04-fold higher risk of ATTR-CA beyond the IWT score. CONCLUSIONS: Among STE measures of the four chambers, PALS and PACS are the most informative ones to diagnose CA and ATTR-CA. Patients screened for CA and having LA-PALS and/or LA-PACS in the first quartile have a high likelihood of CA and ATTR-CA.",6549203 [pii],"Aimo A, Fabiani I, Giannoni A, Mandoli GE, Pastore MC, Vergaro G, Spini V, Chubuchny V, Pasanisi EM, Petersen C, Poggianti E, Taddei C, Castiglione V, Latrofa S, Panichella G, Sciaccaluga C, Georgiopoulos G, Passino C, Cameli M, Emdin M",,,Eur Heart J Cardiovasc Imaging. 2022 Dec 19;24(1):130-141. doi: 10.1093/ehjci/jeac057.,PubMed,DUDOSO,Menciona AL con criterios parciales — revisión manual
