Title,Abstract,Authors,Journal,DOI
Imaging modalities in cardiac amyloidosis.,"Cardiac amyloidosis (CA) is an infiltrative restrictive cardiomyopathy caused by the deposition of amyloid fibrils in the myocardium, presenting primarily as transthyretin cardiac amyloidosis (ATTR) and immunoglobulin light chain cardiac amyloidosis (AL). ATTR is further classified into wild-type (ATTRwt) and hereditary (ATTRv) based on transthyretin gene mutation. The disease is increasingly recognized as a significant cause of heart failure. Advances in diagnostic modalities, including electrocardiography, echocardiography, cardiac magnetic resonance imaging, and technetium pyrophosphate scintigraphy, have revolutionized the non-invasive diagnosis of CA. While ATTR can often be diagnosed with scintigraphy, AL typically requires histological confirmation. This review explores these diagnostic tools, emphasizing their role in early detection and quantification of disease burden, which are crucial for timely treatment and prognostication. This comprehensive overview aims to aid clinicians in efficiently diagnosing CA, ultimately improving patient outcomes.","Bashir Z, Musharraf M, Azam R, Bukhari S",Curr Probl Cardiol. 2024 Dec;49(12):102858. doi: 10.1016/j.cpcardiol.2024.102858. Epub 2024 Sep 19.,S0146-2806(24)00493-6 [pii]
'Valvular' AL amyloidosis.,No abstract available,"Jozsa C, Lloyd G, Bhattacharyya S",Eur Heart J. 2019 Dec 1;40(45):3717. doi: 10.1093/eurheartj/ehz534.,5541860 [pii]
Rare vertebral pathological fracture in primary amyloidosis.,"Spinal involvement in primary amyloidosis is an exceedingly rare condition, presenting with typical pathological fracture symptoms that are often indistinguishable from other pathologies such as bone metastasis, metabolic disorders and infections. Histopathological studies for tissue diagnosis are the cornerstone of a definitive diagnosis, leading to successful treatment. Early diagnosis and intervention play a pivotal role in the care of patients with amyloidosis. Here, we present a unique case of a pathological fracture in the L4 vertebra following minor trauma. This fracture manifested with pain, instability and limitations in daily activities in a patient who had already been diagnosed with systemic amyloidosis and was undergoing chemotherapy. This case represents a distinct instance of vertebral involvement in amyloidosis and was managed with both chemotherapy and surgical intervention to address the spinal pathology, resulting in favourable outcomes.","Norisyam Y, Zairul Anuar KB, Ohn KM, Moharzudi M",BMJ Case Rep. 2024 Feb 22;17(2):e258973. doi: 10.1136/bcr-2023-258973.,17/2/e258973 [pii]
"The evolving spectrum of kidney amyloidosis: advances in diagnosis, typing and treatment.","Kidney amyloidosis encompasses a spectrum of heterogeneous conditions in which damage is caused by the deposition of various misfolded proteins that aggregate into fibrils. The main form of renal amyloidosis in Western countries is immunoglobulin light chain (AL) amyloidosis, which is usually secondary to a plasma cell clone or less frequently a B-cell clone, while rarer causes include AA amyloidosis, ALECT2 and hereditary amyloidoses. The main renal manifestations include nephrotic syndrome and kidney dysfunction with modest or absent proteinuria. The course is progressive and renal and overall survival is reduced in many patients. While biopsies are usually positive by Congo Red staining in all types of amyloidosis, precise identification of the amyloid fibril protein is essential and is best achieved with immunohistochemistry or proteomic studies, such as mass spectrometry. This method also allows the discovery of novel amyloidogenic proteins and has contributed to expand the list of amyloid types. The current treatment strategy is based on suppressing new amyloid fibril production through chemotherapy in AL amyloidosis, control of inflammation in AA amyloidosis and 'gene silencing' therapies in hereditary forms, such as the one linked with transthyretin. Novel approaches aim at enhancing natural amyloid clearance in order to reduce the rate of organ failure. Kidney transplantation in patients who achieved response has shown outcomes comparable to the general transplant population. In this review, we present the key aspects of renal amyloidosis and discuss novel concepts in this evolving field.","Allinovi M, Trivioli G, Gaudio C, L'Imperio V, Rauf MU, Gillmore JD",Nephrol Dial Transplant. 2025 Sep 29;40(10):1826-1837. doi: 10.1093/ndt/gfaf042.,8043263 [pii]
Diagnostic Challenges and Solutions in Systemic Amyloidosis.,"Amyloidosis refers to a clinically heterogeneous group of disorders characterized by the extracellular deposition of amyloid proteins in various tissues of the body. To date, 42 different amyloid proteins that originate from normal precursor proteins and are associated with distinct clinical forms of amyloidosis have been described. Identification of the amyloid type is essential in clinical practice, since prognosis and treatment regimens both vary according to the particular amyloid disease. However, typing of amyloid protein is often challenging, especially in the two most common forms of amyloidosis, i.e., the immunoglobulin light chain amyloidosis and transthyretin amyloidosis. Diagnostic methodology is based on tissue examinations as well as on noninvasive techniques including serological and imaging studies. Tissue examinations vary depending on the tissue preparation mode, i.e., whether it is fresh-frozen or fixed, and they can be carried out by ample methodologies including immunohistochemistry, immunofluorescence, immunoelectron microscopy, Western blotting, and proteomic analysis. In this review, we summarize current methodological approaches used for the diagnosis of amyloidosis and discusses their utility, advantages, and limitations. Special attention is paid to the simplicity of the procedures and their availability in clinical diagnostic laboratories. Finally, we describe new methods recently developed by our team to overcome limitations existing in the standard assays used in common practice.","Goldis R, Kaplan B, Kukuy OL, Arad M, Magen H, Shavit-Stein E, Dori A, Livneh A",Int J Mol Sci. 2023 Feb 28;24(5):4655. doi: 10.3390/ijms24054655.,ijms24054655 [pii]
Successes in translation.,"Translational research is key in advancing the diagnosis and therapy of systemic amyloidoses. This paper summarises our presentations at the ISA Workshop on Translation in Systemic Amyloidoses held in Athens on September 25-26, 2023. The critical advances made by the pioneers in the field are reviewed, with particular attention to the discoveries and developments of utmost importance to our understanding of what amyloid is and how the substance affects functions. Examples of translational research regarding the mechanisms of cardiac damage in light chain amyloidosis, the role of biomarkers in improving our understanding of the biology of the disease and patients' management, and the molecular mechanisms involved in the cytotoxicity are described. Advances in basic research continue to open new therapeutic avenues.","Westermark P, Merlini G",Amyloid. 2024 Sep;31(3):159-167. doi: 10.1080/13506129.2024.2387163. Epub 2024 Aug 5.,10.1080/13506129.2024.2387163 [doi]
Acquired and Genetic Amyloid Neuropathies.,"Amyloidosis is a potentially treatable cause of polyneuropathy with various distinct etiologies, including amyloid light chain (AL), transthyretin variant (ATTRv), wild-type transthyretin amyloidosis (wrATTR), gelsolin, and apolipoprotein A1 (ApoA-I). Among these, AL and transthyretin amyloidosis are the most common, while AGel and ApoA-I amyloidosis present more complex diagnostic challenges due to their rarity. Despite advances in the recognition and treatment of AL and transthyretin amyloid protein amyloidosis, diagnostic delays remain a concern. Accurate diagnosis hinges on genetic testing, biomarker development, and tissue biopsy with Congo red staining. Multidisciplinary collaboration, including neurologists, is crucial for optimizing patient outcomes across all forms of amyloidosis.","Karam C, Pasnoor M, Barohn RJ, Dimachkie MM",Neurol Clin. 2025 Nov;43(4):837-849. doi: 10.1016/j.ncl.2025.05.016. Epub 2025 Jul 18.,S0733-8619(25)00035-0 [pii]
"Cardiac Amyloidosis: Overlooked, Underappreciated, and Treatable.","Cardiac amyloidosis (CA) is an infiltrative and restrictive cardiomyopathy that leads to heart failure, reduced quality of life, and death. The disease has two main subtypes, transthyretin cardiac amyloidosis (ATTR-CA) and immunoglobulin light chain cardiac amyloidosis (AL-CA), characterized by the nature of the infiltrating protein. ATTR-CA is further subdivided into wild-type (ATTRwt-CA) and variant (ATTRv-CA) based on the presence or absence of a mutation in the transthyretin gene. CA is significantly underdiagnosed and increasingly recognized as a cause of heart failure with preserved ejection fraction. Advances in diagnosis that employ nuclear scintigraphy to diagnose ATTR-CA without a biopsy and the emergence of effective treatments, including transthyretin stabilizers and silencers, have changed the landscape of this field and render early and accurate diagnosis critical. This review summarizes the epidemiology, pathophysiology, diagnosis, prognosis, and management of CA with an emphasis on the significance of recent developments and suggested future directions.","Rubin J, Maurer MS",Annu Rev Med. 2020 Jan 27;71:203-219. doi: 10.1146/annurev-med-052918-020140.,10.1146/annurev-med-052918-020140 [doi]
Fundamentals of Light Chain Cardiac Amyloidosis: A Focused Review.,"The estimated prevalence of AL CA in the US is approximately 8-12 cases per million. Almost 30-50% diagnosed cases of AL amyloid in the US have multisystem involvement, including cardiac involvement. Even with the availability of advanced diagnostic testing and novel therapies, prognosis remains poor. It is overlooked as a cause of heart failure with preserved ejection fraction leading to a delay in diagnosis when management options are limited and associated with poor survival outcomes. Therefore, the education of physicians is needed to ensure that it would be highly considered as a differential diagnosis. The purpose of this manuscript is to review the advances in the diagnosis and management of cardiac amyloidosis with the aim of educating colleagues who provide care in the primary care setting. We have summarized the pathogenesis of amyloidosis, its association with plasma cell dyscrasias, novel diagnostic and surveillance approaches including echocardiography, cardiovascular magnetic resonance imaging, histopathologic techniques, systemic biomarkers, and advanced treatment approaches including supportive symptomatic management and standard of care chemotherapy targeting the amyloid deposits. Given the overall poor prognosis of amyloidosis, we have also discussed the role of palliative and hospice care.","Latif A, Lateef N, Razzaq F, Kapoor V, Ahsan MJ, Ashfaq M, Iftikhar A, Anwer F, Holmberg M, William P",Cardiovasc Hematol Disord Drug Targets. 2020;20(4):274-283. doi: 10.2174/1871529X20666201130110036.,CHDDT-EPUB-111942 [pii]
Renal amyloidosis: an update on diagnosis and pathogenesis.,"Amyloidosis is a diverse group of protein conformational disorder which is caused by accumulation and deposition of insoluble protein fibrils in vital tissues or organs, instigating organ dysfunction. Renal amyloidosis is characterized by the acellular Congo red-positive pathologic deposition of amyloid fibrils within glomeruli and/or the interstitium. It is generally composed of serum amyloid A-related protein or an immunoglobulin light chain; other rare forms lysozyme, gelsolin, fibrinogen alpha chain, transthyretin, apolipoproteins AI/AII/AIV/CII/CIII; and the recently identified form ALECT2. This disease typically manifests with heavy proteinuria, nephrotic syndrome, and finally progression to end-stage renal failure. Early diagnosis of renal amyloidosis is arduous as its symptoms appear in later stages with prominent amyloid deposition. The identification of the correct type of amyloidosis is quite troublesome as it can be confused with another related form. Therefore, the exact typing of amyloid is essential for prognosis, treatment, and correct management of renal amyloidosis. The emanation of new techniques of proteomic analysis, for instance, mass spectroscopy/laser microdissection, has provided greater accuracy in amyloid typing. This in-depth review emphasizes on the clinical features, renal pathological findings, and diagnosis of the AL and non-AL forms of renal amyloidosis.","Gupta N, Kaur H, Wajid S",Protoplasma. 2020 Sep;257(5):1259-1276. doi: 10.1007/s00709-020-01513-0. Epub 2020 May 24.,10.1007/s00709-020-01513-0 [pii]
Individualized Approach to Management of Light Chain Amyloidosis.,"Systemic light chain (AL) amyloidosis is caused by a B-cell (most commonly plasma cell) clone that produces a toxic light chain that forms amyloid fibrils in tissues and causes severe, progressive organ dysfunction. The clinical presentation is protean, and patients are usually extremely frail, thus requiring careful adaptation of the treatment approach. However, the severity of organ involvement can be accurately assessed with biomarkers that allow a sharp prognostic stratification and precise tailoring of the treatment strategy. Moreover, the availability of biomarker-based response criteria also allows adjustment of the treatment approach over time. The recent completion of 3 large randomized clinical trials has offered new evidence for designing appropriate treatments. All this information has recently been integrated in the joint guidelines of the International Society of Amyloidosis and the European Hematology Association for the treatment of AL amyloidosis. Other clinical trials are underway testing new agents directed against the amyloid clone and the amyloid deposits. Our understanding of the peculiarities of the amyloid clone, as well as our ability to detect residual clonal disease and improve organ dysfunction, are also being refined and will result in more precise personalization of the treatment approach.","Palladini G, Milani P",J Natl Compr Canc Netw. 2023 Jan;21(1):91-98. doi: 10.6004/jnccn.2022.7092.,10.6004/jnccn.2022.7092 [doi]
Changes in Myocardial Light Chain Amyloid Burden After Plasma Cell Therapy.,"BACKGROUND: Current therapies for light chain (AL) amyloidosis target the plasma cell dyscrasia, but their effect on myocardial amyloid fibril burden remains poorly defined. OBJECTIVES: The authors aimed to assess longitudinal changes in myocardial amyloid burden after plasma cell-directed chemotherapy. METHODS: This prospective study included 81 patients (58 with AL amyloid cardiomyopathy and 23 with AL amyloidosis without cardiomyopathy) with recently diagnosed, biopsy-proven AL amyloidosis, who underwent serial (18)F-florbetapir positron emission tomography/computed tomography and cardiac magnetic resonance (including extracellular volume [ECV]) at baseline, 6 months (n = 52), and/or 12 months (n = 37). Molecular amyloid burden was estimated as (18)F-florbetapir percentage injected dose (%ID), and changes are presented as absolute and relative %ID changes. Cardiac biomarker response was defined as a reduction in N-terminal pro-B-type natriuretic peptide (NT-proBNP) >30% and >300 ng/L when baseline NT-proBNP ≥650 ng/L. All change comparisons were paired within patients. RESULTS: In AL amyloid cardiomyopathy, amyloid burden decreased significantly at 6 and 12 months after therapy initiation (median absolute [relative] change %ID: -0.3% [-13%]; P = 0.002; and -0.3% [15%]; P = 0.003). Changes in %ID correlated moderately with changes in NT-proBNP at 12 months (ρ = 0.531). Of note, %ID decreased significantly among biomarker responders (P < 0.001), whereas there was no change in nonresponders (P = 0.542). In contrast, ECV did not change in biomarker responders (P = 0.193) or nonresponders (P = 0.695). In AL amyloidosis without cardiomyopathy, %ID did not change (P = 0.523), whereas ECV increased (P = 0.011). CONCLUSIONS: Myocardial AL amyloid burden estimated by (18)F-florbetapir %ID decreases in participants undergoing plasma cell therapy and is detectable at 6 months. Molecular amyloid and ECV changes probably reflect distinct aspects of myocardial remodeling in AL amyloidosis. (Molecular Imaging of Primary Amyloid Cardiomyopathy [MICA]: NCT02641145).","Benz DC, Clerc OF, Cuddy SAM, Singh V, Kijewski MF, Bianchi G, Yee AJ, Ruberg FL, Jerosch-Herold M, Kwong RY, Di Carli MF, Liao R, Falk RH, Dorbala S",JACC Cardiovasc Imaging. 2025 Dec;18(12):1363-1374. doi: 10.1016/j.jcmg.2025.07.017. Epub 2025 Sep 12.,S1936-878X(25)00450-4 [pii]
Amyloidosis Imaging: Prime Time Biomarker Yet Still a Moving Target.,No abstract available,"Blankstein R, Shaw L, Chandrashekhar Y",JACC Cardiovasc Imaging. 2020 Jun;13(6):1392-1394. doi: 10.1016/j.jcmg.2020.05.002.,S1936-878X(20)30344-2 [pii]
An autopsy case of amyloid tubulopathy exhibiting characteristic spheroid-type deposition.,"An 84-year-old woman with a history of haemodialysis for renal failure from approximately 1 year before death. Autopsy revealed numerous spheroid-type amyloid deposits in the kidney that were observed mainly in the interstitium but not the glomeruli and vessels. In addition, intracytoplasmic small globular amyloid deposits in the proximal tubules in addition to amyloid casts were identified. Immunohistochemistry and proteomic analyses indicated these deposits were composed of λ light chains. Amyloid deposition was also found in the lung and heart. λ-type monoclonal protein was detected in her serum and increased numbers of CD138-positive cells with λ-restriction was observed in the bone marrow. The case was diagnosed as amyloid tubulopathy (AT) associated with systemic ALλ amyloidosis related to plasma cell neoplasm. This case indicates that AT is associated with ALλ amyloidosis, which developed systemically with characteristic amyloid deposition forms. These pathological features may be associated with her rapid progressive renal failure.","Ichimata S, Hata Y, Abe R, Yoshinaga T, Katoh N, Kametani F, Yazaki M, Sekijima Y, Ehara T, Nishida N",Virchows Arch. 2020 Jul;477(1):157-163. doi: 10.1007/s00428-019-02740-4. Epub 2020 Jan 13.,10.1007/s00428-019-02740-4 [pii]
Misconceptions and Facts About Cardiac Amyloidosis.,"Cardiac amyloidosis is an important clinical entity associated with significant morbidity and mortality. Although the signs and symptoms can be apparent early in the disease course, diagnoses are often made late because of inadequate recognition. A diagnosis of cardiac amyloidosis requires careful scrutiny of a patient's symptoms, an electrocardiogram, and imaging studies, including echocardiography and magnetic resonance imaging. Further evaluation is required through the measurement of serum and urine light chains and the use of bone scintigraphy imaging to differentiate transthyretin amyloidosis from light-chain cardiac amyloidosis. The available treatments have expanded tremendously in recent years and have improved outcomes in the population with this disorder. Thus, it has become increasingly important to diagnose cardiac amyloidosis and provide timely therapies. This article will clarify the various misconceptions about cardiac amyloidosis and provide a framework for primary care providers to better identify this disease in their practice.","Nguyen FD, Rodriguez M, Krittanawong C, Witteles R, Lenihan DJ",Am J Cardiol. 2021 Dec 1;160:99-105. doi: 10.1016/j.amjcard.2021.08.045. Epub 2021 Oct 3.,S0002-9149(21)00830-4 [pii]
Advances in the Treatment of Cardiac Amyloidosis.,"Cardiac amyloidosis is associated with a high mortality rate, a long delay between the first signs and the diagnosis but a short interval between diagnosis and death. This scenario has changed recently due to improved disease awareness among doctors and significant progress in diagnosis thanks to multimodal imaging and a multidisciplinary approach. Therefore, during the last few years, we have had access to specific therapies for those patients. Those therapies are quite different depending on the type of amyloidosis, but there has been real progress. Systemic light chain amyloidosis (AL) with cardiac involvement is the most common form of cardiac amyloidosis. The severity of heart disease dictates the prognosis in AL amyloidosis. Advances in chemotherapy and immunotherapy that suppress light chain production have improved the outcomes. These recent improvements in survival rates have enabled therapies such as implanted cardiac defibrillators and heart transplantation that were usually not indicated for patients with advanced light chain amyloid cardiomyopathy to now be applied in selected patients. For transthyretin amyloidosis (ATTR), the second most common form of amyloidosis with cardiac involvement, there is also significant progress in treatment. Until recently, we had no specific therapy for ATTR cardiomyopathy (ATTR-CM), though now disease-modifying therapies are available. Therapies that stabilize transthyretin, such as tafamidis, have been shown to improve outcomes for patients with ATTR-CM. Modern treatments that stop the synthesis of TTR through gene silencing, such as patisiran and inotersen, have shown positive results for patients with TTR amyloidosis. Significant progress has been made in the treatment of amyloid cardiomyopathy, and hopefully, we will see even more progress with the spread of those treatments. We now can be optimistic about patients with this disease.","Macedo AVS, Schwartzmann PV, de Gusmão BM, Melo MDT, Coelho-Filho OR",Curr Treat Options Oncol. 2020 Apr 23;21(5):36. doi: 10.1007/s11864-020-00738-8.,10.1007/s11864-020-00738-8 [pii]
